m,n,k,avg
0,2523,3965,32,0.0593686
0,1474,3965,3309,1.15213
0,687,3047,556,0.0672002
0,556,3965,950,0.114619
0,950,556,556,0.0169432
0,556,2654,1605,0.129633
0,1736,2523,163,0.0336344
0,1212,2654,1212,0.220027
0,425,3572,1998,0.170857
0,1605,1343,1081,0.132104
0,819,425,1605,0.0399691
0,1998,32,1998,0.0141661
0,294,3441,1343,0.0896967
0,1081,3047,163,0.0303068
0,2261,1081,1605,0.246485
0,1474,1998,32,0.0100518
0,687,1867,2654,0.208665
0,163,4096,294,0.0117445
0,3834,1474,1474,0.459986
0,1343,32,3178,0.0220572
0,556,1736,3703,0.17804
0,2916,3572,294,0.207997
0,1736,556,3441,0.198563
0,1998,3572,163,0.0519263
0,1867,3703,1212,0.433902
0,294,1998,3441,0.129225
0,3178,3178,163,0.0979291
0,556,2392,32,0.00571402
0,950,1081,950,0.0554468
0,32,1212,1343,0.00954883
0,425,163,3047,0.0163401
0,1212,2130,556,0.0820017
0,3441,687,294,0.0468754
0,2392,3572,819,0.420339
0,556,1867,425,0.0243712
0,687,1081,32,0.00350261
0,1474,1474,3834,0.468892
0,687,294,3047,0.0451496
0,3047,32,3834,0.0766766
0,163,3572,950,0.0341093
0,1343,1343,556,0.0570608
0,556,1474,1081,0.0531998
0,1343,556,2785,0.108774
0,32,2392,294,0.00812148
0,3703,819,3572,0.638235
0,2916,950,687,0.112794
0,32,3178,1998,0.0373532
0,425,1867,2130,0.105875
0,2392,32,1867,0.0262431
0,3572,425,425,0.0472057
0,3965,1474,32,0.025779
0,2261,687,2916,0.267977
0,32,1998,3441,0.0365932
0,950,1605,3441,0.288325
0,425,3834,556,0.0597799
0,819,163,950,0.0090523
0,1605,2392,819,0.179588
0,294,294,1605,0.00842121
0,1474,163,1212,0.0221804
0,2654,32,2916,0.0304254
0,2261,2130,819,0.212069
0,1474,3047,1867,0.515922
0,163,3834,1998,0.0762525
0,3047,556,32,0.00829728
