nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,8,16,2,24,4,1,1,1,8,24,32,32,32,4,0,0.0354443,0.0946361,0.0255663,0.0287783,0.0450502,0.499048,0.000393119,0.25362,0.154044
0,1,64,1,2,40,2,1,1,1,8,80,32,32,32,0,0,0.049347,0.00414832,0.00453262,0.0292645,0.00337326,0.186497,0.000585057,0.120657,0.10172
0,1,2,32,5,24,1,1,1,1,8,48,32,32,32,1,1,0.0925966,0.0367975,0.0417374,0.0135061,0.0100163,0.626265,0.000236548,0.45492,0.256384
0,1,8,8,2,24,16,1,1,1,16,48,32,32,32,3,0,0.0523724,0.183868,0.0579292,0.0454416,0.131139,1.27911,0.000670683,0.736012,0.525746
0,1,64,2,5,16,32,1,1,1,96,96,32,32,32,3,1,0.1142,1.14175,1.03097,1.23007,3.15738,19.5768,0.00154135,12.7142,2.25389
0,1,8,16,2,32,1,1,1,1,48,96,32,32,32,1,1,0.0629967,0.0852493,0.0875261,0.0867298,0.246342,3.04041,0.000732865,2.30379,1.17283
0,1,8,8,4,8,32,1,1,1,128,72,32,32,32,1,0,0.0916343,0.870093,0.7193,0.295333,3.09728,10.4869,0.002432,4.55108,3.4309
0,1,2,32,2,48,32,1,1,1,128,96,32,32,32,3,1,0.258406,3.61535,1.27114,0.767184,8.46856,363.366,0.00365327,343.307,8.79441
0,1,2,32,5,64,2,1,1,1,88,128,32,32,32,2,1,0.23784,1.69871,2.30026,0.313376,2.49775,40.2563,0.00125936,31.2472,5.53
0,1,4,16,1,40,4,1,1,1,8,40,32,32,32,0,1,0.0509259,0.0303505,0.0266527,0.220335,0.00637912,2.15105,0.000333964,1.78695,1.09374
0,1,4,32,1,16,1,1,1,1,16,32,32,32,32,1,1,0.0603924,0.0197356,0.0216469,0.0722691,0.027156,1.05223,0.000351216,0.846751,0.716556
0,1,2,32,5,56,1,1,1,1,64,56,32,32,32,4,1,0.162363,1.11711,2.18645,0.259693,2.89927,13.1275,0.000912217,5.63028,1.89679
0,1,4,16,1,40,8,1,1,1,48,40,32,32,32,2,1,0.0802956,0.437036,0.530218,0.321811,0.970738,15.1593,0.00117047,12.4016,5.09486
0,1,8,16,0,56,2,1,1,1,24,112,32,32,32,4,0,0.0423114,0.305089,0.266968,0.160835,0.325249,3.17084,0.000553112,1.75539,0.575895
0,1,1,64,1,32,1,1,1,1,64,32,32,32,32,2,0,0.231656,0.286517,0.212804,0.0389071,1.26464,19.4832,0.0010991,16.6832,16.5211
0,1,4,32,0,16,2,1,1,1,32,16,32,32,32,3,1,0.0504285,0.0498263,0.0396738,0.198655,0.288458,1.20262,0.00054387,0.428515,0.120359
0,1,64,1,0,8,2,1,1,1,8,16,32,32,32,0,1,0.0433433,0.00167173,0.00199731,0.0130107,0.00369969,0.063179,0.000993839,0.0344119,0.0205467
0,1,8,8,2,16,32,1,1,1,64,128,32,32,32,3,0,0.0713261,0.65192,0.602005,0.115674,2.00257,7.80211,0.00181093,3.35471,2.04534
0,1,64,2,0,32,4,1,1,1,32,32,32,32,32,0,1,0.0535983,0.00666199,0.00756909,0.0969014,0.0172364,0.700385,0.000485606,0.528977,0.176759
0,1,64,2,1,32,1,1,1,1,56,96,32,32,32,1,0,0.0460889,0.0844771,0.0946874,0.102356,0.179273,1.65905,0.00048762,0.970588,0.757996
0,1,16,4,3,48,32,1,1,1,96,48,32,32,32,0,1,0.109889,0.242194,0.238464,1.15628,0.619889,43.2228,0.00187545,40.6993,3.0579
0,1,2,64,1,48,4,1,1,1,128,48,32,32,32,2,0,0.312098,0.789171,0.449251,0.248759,2.65426,33.5531,0.00152513,28.0829,27.5846
0,1,64,1,0,24,2,1,1,1,104,24,32,32,32,4,1,0.0479391,0.223101,0.293893,0.205003,6.07035,7.49788,0.00138351,0.601191,0.354112
0,1,16,4,2,16,8,1,1,1,8,16,32,32,32,2,1,0.0267899,0.0184537,0.00906354,0.314004,0.0205614,0.703481,0.000511886,0.327087,0.194614
0,1,32,4,1,64,32,1,1,1,32,128,32,32,32,2,0,0.134349,1.43323,1.97119,0.151454,0.64513,10.1874,0.00101647,5.84678,1.67819
0,1,2,64,0,64,32,1,1,1,128,64,32,32,32,4,0,0.284522,7.33469,1.39457,0.832828,12.6486,40.0284,0.00352614,13.2803,11.9679
0,1,64,1,2,56,32,1,1,1,64,56,32,32,32,1,0,0.179277,0.0645762,0.0640009,0.079603,0.39901,6.92506,0.00122278,6.247,0.819274
0,1,4,16,2,48,32,1,1,1,32,48,32,32,32,1,1,0.129196,0.377695,0.152329,0.440728,0.559583,36.6215,0.0015373,34.7081,4.06014
0,1,64,2,5,24,2,1,1,1,120,24,32,32,32,0,1,0.0494584,0.0827054,0.109019,0.104527,0.422936,1.76608,0.000922395,0.918414,0.574668
0,1,2,32,4,48,4,1,1,1,8,48,32,32,32,1,1,0.0843392,0.0803255,0.13099,0.054855,0.0229072,2.86568,0.000992288,2.378,0.901212
0,1,8,16,5,64,32,1,1,1,64,128,32,32,32,4,1,0.175103,1.94747,3.15442,0.783132,2.7595,139.972,0.00174119,130.274,5.48988
0,1,32,4,1,8,32,1,1,1,32,40,32,32,32,0,1,0.0427905,0.107105,0.0613228,0.115738,0.0897913,2.24354,0.000909186,1.81102,0.505314
0,1,4,32,0,40,8,1,1,1,8,40,32,32,32,3,1,0.0606229,0.402643,0.0436666,0.0551023,0.0464666,3.11624,0.000617432,2.44988,0.922982
0,1,64,1,4,56,2,1,1,1,16,56,32,32,32,0,1,0.0515293,0.0148719,0.0153097,0.0992189,0.00922318,0.72594,0.00034917,0.554034,0.282557
0,1,8,8,4,24,1,1,1,1,16,96,32,32,32,1,0,0.0535548,0.0647167,0.0597386,0.104556,0.0352059,0.923651,0.000472935,0.593572,0.505889
0,1,8,16,3,64,4,1,1,1,8,64,32,32,32,1,1,0.0436871,0.0410748,0.109209,0.260887,0.0116385,2.5255,0.000661012,2.02572,0.72337
0,1,8,8,3,56,2,1,1,1,8,56,32,32,32,0,1,0.0347067,0.0256282,0.024842,0.0462622,0.00581512,0.868594,0.000393542,0.710781,0.270389
0,1,64,1,3,40,2,1,1,1,8,120,32,32,32,0,1,0.050318,0.0411332,0.0162998,0.0991705,0.00502727,0.600248,0.000301559,0.40588,0.200051
0,1,4,16,0,48,16,1,1,1,64,96,32,32,32,1,1,0.107332,0.230972,0.18703,0.160673,0.514473,58.2065,0.00156333,55.6367,2.22313
0,1,64,1,3,48,4,1,1,1,16,96,32,32,32,2,1,0.0643918,0.159528,0.291118,0.21336,0.0761776,1.95451,0.000367292,1.1663,0.379144
0,1,16,4,1,16,4,1,1,1,16,128,32,32,32,3,1,0.0280736,0.929735,0.70385,1.16559,0.183305,4.54228,0.000445029,1.41655,0.723821
0,1,4,16,3,56,16,1,1,1,32,56,32,32,32,2,1,0.101598,0.241192,0.851273,0.497016,0.398552,26.1809,0.00133026,23.724,4.00611
0,1,64,2,0,40,1,1,1,1,56,40,32,32,32,1,0,0.0461323,0.0288601,0.0414375,0.113059,0.199885,0.826857,0.000759981,0.341642,0.309545
0,1,64,2,3,48,1,1,1,1,24,96,32,32,32,1,0,0.0442459,0.104952,0.168899,0.136239,0.0462237,0.945299,0.000416153,0.387567,0.343987
