nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,64,1,5,40,1,1,1,1,16,80,32,32,32,3,0,0.0450499,0.227953,0.257782,0.0983978,0.10225,0.96448,0.000247181,0.219636,0.194732
0,1,64,1,1,8,8,1,1,1,128,8,32,32,32,4,0,0.0630436,2.13702,0.215958,0.0181287,10.0977,12.8903,0.00157669,0.341034,0.152616
0,1,64,1,0,40,32,1,1,1,96,120,32,32,32,4,0,0.200326,0.773112,0.76924,0.169802,5.35824,12.3589,0.0016161,4.90314,1.91686
0,1,64,1,0,16,32,1,1,1,64,112,32,32,32,1,0,0.101238,0.0887456,0.0878225,0.103065,0.399348,2.65638,0.00127409,1.72135,1.12522
0,1,64,1,0,8,32,1,1,1,128,96,32,32,32,0,0,0.0750712,0.0624806,0.0545056,0.139069,0.39352,3.29878,0.00192234,2.16961,1.823
0,1,64,1,2,32,1,1,1,1,32,128,32,32,32,0,0,0.0460337,0.0209111,0.0194766,0.175291,0.0246767,1.08138,0.000546695,0.67178,0.594506
0,1,64,1,0,40,8,1,1,1,40,40,32,32,32,3,1,0.0645998,0.082483,0.079241,0.194151,0.587546,2.67473,0.000724397,1.67371,0.365705
0,1,64,1,5,56,8,1,1,1,24,56,32,32,32,2,0,0.0771212,0.132182,0.253453,0.0751521,0.171338,1.23838,0.000447115,0.572308,0.425398
0,1,64,1,0,40,2,1,1,1,24,80,32,32,32,1,0,0.0490385,0.0246289,0.0252833,0.0742607,0.0530978,0.574931,0.000537915,0.323702,0.291229
0,1,64,1,5,24,16,1,1,1,32,24,32,32,32,0,1,0.0688637,0.0345754,0.0382885,0.193284,0.0777155,1.79266,0.000605491,1.43462,0.443976
0,1,64,1,2,16,1,1,1,1,8,16,32,32,32,0,0,0.0441828,0.00162229,0.00199469,0.0134811,0.00356285,0.0588468,0.00113,0.0287469,0.0226258
0,1,64,1,3,24,8,1,1,1,64,24,32,32,32,2,1,0.0650247,0.157156,0.501442,0.117631,1.15498,3.19502,0.00106794,1.20593,0.459556
0,1,64,1,5,16,2,1,1,1,8,32,32,32,32,2,0,0.044172,0.0252779,0.0302494,0.0231889,0.0184954,0.170055,0.000212862,0.0621238,0.0506402
0,1,64,1,2,64,32,1,1,1,96,64,32,32,32,0,0,0.21488,0.0534926,0.0505208,0.113463,0.230434,8.80977,0.00163228,8.19849,1.26984
0,1,64,1,1,24,2,1,1,1,40,96,32,32,32,2,1,0.0468019,0.190272,0.182102,0.110232,0.338398,2.21203,0.000631651,1.23204,0.803143
0,1,64,1,3,24,16,1,1,1,32,24,32,32,32,1,0,0.0690291,0.0410979,0.119544,0.0401548,0.156854,0.771055,0.000617068,0.396119,0.230904
0,1,64,1,3,32,16,1,1,1,128,64,32,32,32,2,0,0.110487,0.758653,1.40717,0.244277,4.23344,9.58135,0.00160976,2.6361,1.62713
0,1,64,1,0,8,1,1,1,1,40,16,32,32,32,4,1,0.0451745,0.0577331,0.062076,0.124173,0.898671,1.27454,0.000650415,0.104208,0.084318
0,1,64,1,2,64,16,1,1,1,16,128,32,32,32,2,0,0.118962,0.0602221,0.0601398,0.0572919,0.0610963,2.14525,0.000658243,1.86043,0.426655
0,1,64,1,0,24,4,1,1,1,8,48,32,32,32,4,0,0.0475132,0.025261,0.0266501,0.0175898,0.0395607,0.215399,0.000354761,0.0898579,0.065152
0,1,64,1,3,64,8,1,1,1,32,128,32,32,32,0,0,0.105035,0.149034,0.0966879,0.163349,0.0683209,1.72657,0.00060084,1.11155,0.8909
0,1,64,1,1,24,8,1,1,1,8,24,32,32,32,4,0,0.0544582,0.166581,0.403789,0.0135574,0.13943,0.828006,0.000273503,0.0973617,0.067503
