m,n,k,avg,std
98885,560,4283,256,0.00146691,0.0199021
98886,655,4283,256,0.0016343,0.01591
98887,766,4283,256,0.00171248,0.0214899
98888,895,4283,256,0.00201032,0.00304672
98889,1047,4283,256,0.00218958,0.0157563
98890,1225,4283,256,0.00234028,0.00692301
98891,1432,4283,256,0.00265877,0.00830182
98892,1675,4283,256,0.00302117,0.0173799
98893,1958,4283,256,0.00350742,0.00350126
98894,2290,4283,256,0.00394381,0.00528932
98895,2678,4283,256,0.00455437,0.00547181
98896,3132,4283,256,0.00527228,0.00736881
98897,3663,4283,256,0.00603375,0.00781851
98898,4283,4283,256,0.00695606,0.000663603
98899,5009,4283,256,0.00789558,0.00351164
98900,5858,4283,256,0.00917719,0.00360139
98901,6850,4283,256,0.0106716,0.00141289
98902,8011,4283,256,0.0123502,0.00600735
98903,9368,4283,256,0.0147916,0.00626899
98904,10955,4283,256,0.0165955,0.00198102
98905,12812,4283,256,0.0192362,0.00530147
98906,14982,4283,256,0.0222506,0.00359207
98907,17521,4283,256,0.0258989,0.00229002
98908,20489,4283,256,0.0315987,0.00205089
98909,23961,4283,256,0.0350823,0.00375297
98910,28020,4283,256,0.0403613,0.000892469
98911,32768,4283,256,0.120728,0.0199285
98912,256,5009,256,0.00109383,0.0245308
98913,299,5009,256,0.00117177,0.0214089
98914,350,5009,256,0.0012709,0.0325749
98915,409,5009,256,0.00132609,0.0205163
98916,479,5009,256,0.00159398,0.00996533
98917,560,5009,256,0.00154718,0.0205094
98918,655,5009,256,0.00185027,0.00973548
98919,766,5009,256,0.00197682,0.00987129
98920,895,5009,256,0.00226664,0.0143299
98921,1047,5009,256,0.00247303,0.00779371
98922,1225,5009,256,0.00262821,0.0149392
98923,1432,5009,256,0.00300241,0.00376573
98924,1675,5009,256,0.00343135,0.0029649
98925,1958,5009,256,0.00391229,0.00356273
98926,2290,5009,256,0.0043339,0.00569231
98927,2678,5009,256,0.00501447,0.00650367
98928,3132,5009,256,0.00580343,0.00629284
98929,3663,5009,256,0.00661782,0.00616188
98930,4283,5009,256,0.00762174,0.00338371
98931,5009,5009,256,0.00871193,0.00432591
98932,5858,5009,256,0.0100971,0.00415627
98933,6850,5009,256,0.0115642,0.00252966
