node ppn nthreads layout dset gset zsetx zsety zsetz groups quad zonex zoney zonez legendre solver k1 k2 k3 k4 k5 Solver k7 SweepSolver k9
0 1 32 2 1 8 2 1 1 1 32 16 16 16 16 3 1 0.0232574 0.00973785 0.00875901 0.00166804 0.0655214 0.124534 0.000237992 0.0319411 0.0157127
0 1 32 2 3 24 2 1 1 1 32 24 24 24 24 2 0 0.0248805 0.0337315 0.124992 0.0340583 0.131316 0.469734 0.000537318 0.126892 0.104775
0 1 32 2 3 24 1 1 1 1 8 24 24 24 24 2 0 0.0245326 0.010166 0.0274463 0.0126264 0.00829783 0.111692 0.0003145 0.047125 0.027481
0 1 32 2 5 24 4 1 1 1 40 24 24 24 24 3 1 0.030632 0.0808401 0.141687 0.0219237 0.324587 1.00336 0.00035745 0.40835 0.195918
0 1 32 2 2 16 8 1 1 1 48 32 16 16 16 3 0 0.0297276 0.0133432 0.0142008 0.00913068 0.143857 0.280827 0.000545718 0.0891444 0.0558375
0 1 32 2 3 16 2 1 1 1 40 32 16 16 16 4 0 0.0249287 0.041892 0.0958199 0.0133082 0.151093 0.368322 0.000323341 0.0543523 0.0433631
0 1 32 2 0 8 1 1 1 1 64 24 24 24 24 2 0 0.0254292 0.0294305 0.0331098 0.0703301 0.403767 0.765177 0.000524267 0.196608 0.140101
0 1 32 2 0 16 2 1 1 1 32 16 16 16 16 0 0 0.0230878 0.00128975 0.00195524 0.00682659 0.00462874 0.0510855 0.000428995 0.030536 0.0169603
0 1 32 2 4 8 1 1 1 1 8 32 8 8 8 1 1 0.0225075 0.000803475 0.00104837 0.00263254 0.00124683 0.01802 0.000594621 0.00854721 0.00393218
0 1 32 2 2 16 4 1 1 1 8 32 16 16 16 2 0 0.0239349 0.00280883 0.0025126 0.00466625 0.00336814 0.0478757 0.000830459 0.0300018 0.012887
0 1 32 2 0 8 1 1 1 1 24 8 8 8 8 4 1 0.0225747 0.000948763 0.00182166 0.00252401 0.00808318 0.0243655 0.000468387 0.00699143 0.00303098
0 1 32 2 3 8 1 2 2 2 32 16 16 16 16 2 0 0.0250695 0.00972564 0.0161293 0.0245286 0.0407261 0.133549 0.000383661 0.0375492 0.0220135
0 1 32 2 3 8 1 1 1 1 32 8 16 16 16 2 1 0.0233785 0.00329866 0.0128562 0.00849127 0.0401079 0.0894657 0.000401121 0.0197974 0.0108684
0 1 32 2 3 24 1 1 1 1 56 24 24 24 24 3 0 0.0275352 0.10778 0.382133 0.0889348 0.632062 1.43668 0.0004217 0.194535 0.178859
0 1 32 2 0 24 2 1 1 1 64 24 24 24 24 4 1 0.0293784 0.0736832 0.0843233 0.00596756 1.08613 1.60189 0.000551029 0.312251 0.159055
0 1 32 2 5 24 1 1 1 1 24 24 24 24 24 1 0 0.0252335 0.0173477 0.0252646 0.0358214 0.0299416 0.205912 0.000197828 0.0855418 0.0687711
0 1 32 2 1 8 1 1 1 1 16 32 8 8 8 0 0 0.023124 0.000579385 0.00101557 0.00257379 0.00156757 0.0183056 0.000276602 0.00839312 0.00251816
0 1 32 2 1 8 1 2 2 2 48 24 16 16 16 0 1 0.0265699 0.00229073 0.0026805 0.017277 0.00854044 0.218504 0.000290816 0.1808 0.0385048
0 1 32 2 5 8 2 1 1 1 48 32 16 16 16 3 1 0.0237124 0.0395397 0.0403745 0.00676627 0.14274 0.325179 0.0001851 0.0827972 0.0494676
0 1 32 2 5 8 2 1 1 1 56 8 24 24 24 2 1 0.0260557 0.0197871 0.0420734 0.00860616 0.404703 0.574481 0.000405751 0.0810797 0.0560996
0 1 32 2 0 8 1 2 2 2 24 8 16 16 16 1 0 0.0237662 0.00233599 0.00257902 0.0154605 0.01082 0.0586298 0.000496583 0.023561 0.0141512
0 1 32 2 0 8 8 2 2 2 16 16 16 16 16 4 0 0.0347233 0.0120425 0.0141287 0.0178389 0.0458003 0.267637 0.00116193 0.172705 0.058556
0 1 32 2 4 16 8 1 1 1 48 32 16 16 16 0 0 0.0290956 0.00732732 0.00671599 0.0126512 0.0151347 0.170326 0.000472768 0.120931 0.0827303
0 1 32 2 2 8 4 1 1 1 16 8 8 8 8 3 1 0.0229374 0.00130544 0.00159664 0.00403027 0.00370081 0.0269936 0.000975585 0.0120473 0.00383038
0 1 32 2 2 8 8 2 2 2 16 8 16 16 16 2 1 0.0329104 0.0099133 0.0101998 0.032886 0.0282086 0.430533 0.00129319 0.345343 0.0524286
0 1 32 2 1 8 4 2 2 2 32 24 16 16 16 3 0 0.0318896 0.0207035 0.0325407 0.0176911 0.0836847 0.256421 0.000618567 0.0962668 0.049378
0 1 32 2 0 8 8 1 1 1 64 8 16 16 16 1 1 0.0243314 0.00228809 0.00331807 0.0153648 0.0589514 0.152148 0.00036188 0.0672295 0.0248329
0 1 32 2 4 8 4 2 2 2 8 8 16 16 16 2 0 0.0272651 0.00614161 0.00803873 0.0157274 0.00961401 0.146793 0.000709859 0.104436 0.0532854
