,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,11328,cube,86,3,11,0.000438,0.006441,3e-06,0.000562,0.225679,0.247004,0.443225,0.001471,0.925446
0,1,64,1,8192,cube,96,4,4,0.000879,0.007033,6e-06,0.000441,0.216248,0.254306,0.023109,0.000256,0.50247
0,1,64,1,10624,cube,165,1,6,0.000704,0.006129,7e-06,0.001234,0.352327,0.116096,0.23889,0.003675,0.719379
0,1,64,1,13952,cube,32,4,11,0.000593,0.006717,6e-06,0.000852,0.203945,0.179433,0.575353,0.002253,0.969526
0,1,64,1,11008,cube,245,3,14,0.000756,0.006924,7e-06,0.000401,0.201813,0.158473,0.904275,0.001415,1.27421
0,1,64,1,5120,cube,104,2,5,0.001126,0.005792,5e-06,0.000626,0.171081,0.087212,0.070631,0.000168,0.336453
0,1,64,1,9280,cube,105,2,11,0.00046,0.006391,6e-06,0.000424,0.08162,0.225717,0.464702,0.001509,0.781443
0,1,64,1,14528,cube,220,4,11,0.00047,0.007205,5e-06,0.000924,0.153206,0.253891,0.501908,0.001926,0.920047
0,1,64,1,9536,cube,135,3,4,0.000547,0.006598,6e-06,0.000387,0.244341,0.071263,0.02302,0.000307,0.346942
0,1,64,1,4864,cube,222,2,9,0.001116,0.005547,5e-06,0.000256,0.068802,0.256502,0.202171,0.000341,0.534506
0,1,64,1,9856,cube,67,2,7,0.000546,0.005846,5e-06,0.000455,0.147709,0.198875,0.116962,0.000658,0.471623
0,1,64,1,16000,cube,132,2,5,0.001458,0.006371,5e-06,0.000592,0.221948,0.137869,0.045036,0.000548,0.413339
0,1,64,1,4160,cube,161,4,9,0.000995,0.006191,8e-06,0.000572,0.209945,0.171933,0.191726,0.000298,0.581644
0,1,64,1,4800,cube,73,2,9,0.001221,0.006123,5e-06,0.00032,0.198681,0.211141,0.21646,0.000772,0.634509
0,1,64,1,8960,cube,153,4,11,0.001229,0.007383,7e-06,0.000289,0.210253,0.271489,0.453585,0.000802,0.944824
0,1,64,1,6848,cube,145,3,13,0.001039,0.006067,6e-06,0.000369,0.341153,0.143993,0.622287,0.000792,1.11556
0,1,64,1,9600,cube,86,4,7,0.001566,0.006718,5e-06,0.000529,0.188532,0.312325,0.116345,0.000603,0.626029
0,1,64,1,6016,cube,188,1,14,0.001074,0.005998,6e-06,0.000588,0.18763,0.055623,1.0903,0.007609,1.34867
0,1,64,1,4288,cube,160,1,11,0.001287,0.006229,6e-06,0.000474,0.126451,0.102364,0.460417,0.003588,0.70049
0,1,64,1,10560,cube,49,4,4,0.000881,0.006653,5e-06,0.000389,0.072726,0.20088,0.024994,0.000313,0.306885
0,1,64,1,9792,cube,97,1,13,0.001666,0.00585,7e-06,0.001859,0.237823,0.161504,3.31409,0.01628,3.73842
0,1,64,1,8704,cube,183,3,11,0.000703,0.006207,6e-06,0.000398,0.232217,0.103548,0.421804,0.000775,0.765954
0,1,64,1,5888,cube,215,2,14,0.000535,0.006569,7e-06,0.000347,0.152311,0.196316,0.786074,0.000853,1.14355
0,1,64,1,5376,cube,107,1,8,0.000411,0.005907,7e-06,0.000516,0.220174,0.097977,0.193984,0.002501,0.522042
0,1,64,1,4736,cube,225,4,7,0.000763,0.006626,5e-06,0.000198,0.217265,0.131741,0.112446,0.000219,0.469433
0,1,64,1,13120,cube,103,2,8,0.000567,0.00726,7e-06,0.000338,0.217017,0.154596,0.176911,0.000953,0.558081
0,1,64,1,15936,cube,224,3,8,0.001488,0.006653,6e-06,0.000506,0.287444,0.165411,0.17573,0.00107,0.637807
0,1,64,1,6720,cube,145,3,15,0.000928,0.006618,8e-06,0.000292,0.346733,0.120946,0.998615,0.00099,1.47533
0,1,64,1,7744,cube,210,1,7,0.000448,0.005851,6e-06,0.000582,0.275515,0.149122,0.168652,0.0029,0.603634
0,1,64,1,10368,cube,57,2,8,0.000767,0.006428,5e-06,0.000585,0.242681,0.210383,0.175485,0.000846,0.637385
0,1,64,1,10368,cube,107,2,6,0.000738,0.006247,5e-06,0.000549,0.227179,0.225661,0.073262,0.000499,0.534346
0,1,64,1,9792,cube,140,2,5,0.000858,0.00673,6.3e-05,0.000601,0.148206,0.099153,0.041298,0.000396,0.297465
0,1,64,1,4544,cube,189,2,10,0.000571,0.006193,4e-06,0.000397,0.221492,0.054177,0.261694,0.00041,0.545288
0,1,64,1,5952,cube,92,2,4,0.000415,0.006219,5e-06,0.001277,0.133854,0.124802,0.021369,0.000207,0.288741
0,1,64,1,5696,cube,47,1,14,0.000428,0.006183,6e-06,0.002039,0.202998,0.214206,4.35822,0.014826,4.79956
0,1,64,1,6144,cube,125,3,6,0.000582,0.006352,6e-06,0.00054,0.249161,0.058414,0.106022,0.000248,0.421705
0,1,64,1,7616,cube,126,4,9,0.000972,0.007341,8e-06,0.000344,0.156636,0.204725,0.291449,0.00049,0.662105
0,1,64,1,6976,cube,55,1,11,0.000573,0.006438,6e-06,0.001646,0.297986,0.117178,1.8422,0.00907,2.27551
0,1,64,1,14592,cube,179,1,9,0.00094,0.006527,7e-06,0.001912,0.305647,0.09565,1.00642,0.009526,1.42682
0,1,64,1,9536,cube,35,1,9,0.000578,0.006188,7e-06,0.001442,0.200588,0.223827,0.992165,0.007162,1.43238
0,1,64,1,4096,cube,223,1,9,0.000631,0.005659,9e-06,0.000409,0.313654,0.065431,0.252158,0.002447,0.64082
0,1,64,1,11520,cube,236,1,12,0.000855,0.00641,7e-06,0.000874,0.318321,0.111982,0.717733,0.01008,1.16648
0,1,64,1,4864,cube,106,3,7,0.000473,0.006335,6e-06,0.00039,0.223445,0.206798,0.113443,0.000223,0.551574
0,1,64,1,5632,cube,210,1,15,0.000611,0.006281,8e-06,0.000586,0.338506,0.129889,1.3704,0.008318,1.85507
0,1,64,1,6144,cube,75,4,15,0.000381,0.007146,8e-06,0.000774,0.283379,0.354034,1.40663,0.002478,2.05552
0,1,64,1,8832,cube,34,1,12,0.001311,0.006072,6e-06,0.001933,0.223509,0.137769,2.48273,0.012703,2.86589
0,1,64,1,14912,cube,172,2,6,0.000965,0.006081,8e-06,0.000962,0.196431,0.067229,0.074828,0.00062,0.347167
0,1,64,1,4480,cube,53,2,15,0.000515,0.006218,7e-06,0.000935,0.154809,0.251555,1.39157,0.00227,1.80839
0,1,64,1,11136,cube,174,2,6,0.00213,0.006107,4e-06,0.00033,0.042681,0.271479,0.065172,0.00058,0.387341
0,1,64,1,12544,cube,104,3,11,0.001038,0.006505,6e-06,0.000535,0.151931,0.230008,0.443242,0.001594,0.834787
0,1,64,1,14080,cube,142,3,10,0.000401,0.006547,6e-06,0.000475,0.258319,0.119095,0.341405,0.001526,0.728358
0,1,64,1,7296,cube,171,3,4,0.000667,0.00608,6e-06,0.000302,0.300141,0.07563,0.098838,0.000198,0.482235
0,1,64,1,12288,cube,134,3,14,0.000591,0.006892,6e-06,0.000741,0.313141,0.189062,1.05956,0.002619,1.57303
0,1,64,1,8832,cube,228,1,8,0.000899,0.006621,8e-06,0.000693,0.262617,0.130295,0.24166,0.004069,0.647182
0,1,64,1,4608,cube,199,4,13,0.001024,0.006838,6e-06,0.000485,0.11406,0.31897,0.586401,0.00058,1.0283
0,1,64,1,12160,cube,56,2,9,0.000481,0.007313,7e-06,0.000494,0.34456,0.094365,0.248057,0.001331,0.697254
0,1,64,1,13504,cube,163,4,14,0.000446,0.007302,7e-06,0.000648,0.218734,0.395032,1.10588,0.003138,1.73194
0,1,64,1,5184,cube,91,3,11,0.000543,0.005369,6e-06,0.00035,0.381612,0.10844,0.375566,0.000558,0.872977
0,1,64,1,5632,cube,179,2,13,0.00045,0.009696,6e-06,0.000547,0.096093,0.198556,0.608598,0.000723,0.915135
0,1,64,1,6848,cube,222,4,5,0.00057,0.007026,6e-06,0.000218,0.087873,0.172702,0.098307,0.000308,0.367423
0,1,64,1,13696,cube,212,3,12,0.000497,0.006955,6e-06,0.000472,0.128977,0.248954,0.887034,0.00131,1.27467
0,1,64,1,5056,cube,46,3,7,0.000872,0.024605,4e-06,0.000823,0.135016,0.144837,0.109857,0.000358,0.416542
0,1,64,1,4096,cube,43,1,11,0.000787,0.01186,7e-06,0.001711,0.153134,0.21028,1.84708,0.006994,2.23215
0,1,64,1,11456,cube,140,4,5,0.000696,0.00672,6e-06,0.000847,0.201787,0.162483,0.043208,0.000435,0.416412
0,1,64,1,5312,cube,130,4,7,0.000666,0.011707,6e-06,0.000218,0.16332,0.170934,0.120813,0.000245,0.468186
0,1,64,1,8448,cube,132,4,12,0.001091,0.007168,6e-06,0.000248,0.16136,0.266521,0.728073,0.000891,1.16515
0,1,64,1,7872,cube,254,1,12,0.000624,0.005878,8e-06,0.000772,0.182488,0.16618,0.653913,0.007307,1.01758
0,1,64,1,5184,cube,160,1,14,0.000518,0.005464,7e-06,0.000744,0.250463,0.15591,1.10021,0.006701,1.52065
0,1,64,1,4800,cube,141,4,5,0.00142,0.007366,5e-06,0.00055,0.21217,0.206229,0.064429,0.000162,0.491811
