,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,28352,cube,193,1,5,0.001345,0.007138,4e-06,0.002705,0.162886,0.184828,0.269633,0.00705,0.635271
0,1,64,1,64512,cube,125,4,9,0.00137,0.008851,8e-06,0.001312,0.280715,0.23543,0.614075,0.005517,1.14698
0,1,64,1,21760,cube,60,4,12,0.000953,0.006905,6e-06,0.000599,0.23693,0.234044,0.747298,0.003059,1.22985
0,1,64,1,4736,cube,120,4,5,0.001153,0.007009,5e-06,0.000159,0.22429,0.134576,0.06407,0.000151,0.431187
0,1,64,1,11072,cube,227,3,12,0.001695,0.006314,6e-06,0.000528,0.184901,0.287909,0.589332,0.001082,1.07098
0,1,64,1,12096,cube,104,2,9,0.000919,0.006056,8e-06,0.000501,0.274123,0.145407,0.248211,0.00112,0.676513
0,1,64,1,46464,cube,36,3,10,0.000716,0.007347,6e-06,0.001873,0.377568,0.210898,1.36551,0.006366,1.97055
0,1,64,1,44352,cube,55,4,4,0.000856,0.007824,6e-06,0.000989,0.331778,0.239082,0.10679,0.001355,0.688875
0,1,64,1,11072,cube,164,4,7,0.00073,0.006891,6e-06,0.000345,0.310841,0.210726,0.110678,0.00066,0.641072
0,1,64,1,13760,cube,119,4,6,0.000498,0.007384,7e-06,0.000318,0.124081,0.161248,0.074491,0.000608,0.369191
0,1,64,1,37184,cube,220,3,11,0.001323,0.006912,6e-06,0.000776,0.20436,0.150728,0.485318,0.003719,0.852973
0,1,64,1,19456,cube,159,3,12,0.001321,0.005957,9e-06,0.000553,0.079415,0.289531,0.629217,0.002712,1.00848
0,1,64,1,46080,cube,72,4,8,0.000658,0.008348,7e-06,0.0014,0.186154,0.314877,0.702976,0.003798,1.21854
0,1,64,1,11776,cube,70,1,10,0.001107,0.00608,6e-06,0.001583,0.254561,0.111571,1.36442,0.010035,1.74938
0,1,64,1,6016,cube,156,4,6,0.000436,0.007091,8e-06,0.000323,0.086809,0.232281,0.105194,0.000226,0.432924
0,1,64,1,52096,cube,233,2,12,0.000887,0.006932,6e-06,0.000782,0.103439,0.327136,0.663167,0.005974,1.10857
0,1,64,1,35712,cube,226,4,11,0.000941,0.007638,7e-06,0.000749,0.211326,0.26669,0.566309,0.003709,1.05753
0,1,64,1,20480,cube,99,1,13,0.00137,0.007306,9e-06,0.003235,0.334423,0.171239,3.36114,0.026417,3.90492
0,1,64,1,8640,cube,86,2,13,0.00118,0.005897,6e-06,0.0006,0.154634,0.302423,0.833419,0.002059,1.30007
0,1,64,1,57856,cube,123,4,15,0.001163,0.008502,9e-06,0.000996,0.343468,0.389791,1.67671,0.010152,2.4307
0,1,64,1,45312,cube,182,4,12,0.001217,0.007883,7e-06,0.000943,0.17062,0.416278,0.764805,0.005361,1.36689
0,1,64,1,61824,cube,145,4,4,0.001232,0.009072,6e-06,0.000982,0.221736,0.311211,0.083677,0.001541,0.629178
0,1,64,1,34880,cube,185,3,7,0.000628,0.00695,5e-06,0.000634,0.142635,0.136537,0.132449,0.001644,0.421844
0,1,64,1,23424,cube,168,4,9,0.001018,0.007473,7e-06,0.000355,0.123284,0.211569,0.29856,0.001826,0.644176
0,1,64,1,14784,cube,182,3,15,0.002146,0.006299,6e-06,0.000556,0.151572,0.288882,1.40773,0.00374,1.8598
0,1,64,1,19072,cube,55,4,14,0.000753,0.006722,5e-06,0.000638,0.112609,0.324877,1.30577,0.003849,1.75546
0,1,64,1,10112,cube,101,2,7,0.001157,0.005995,6e-06,0.001087,0.124466,0.15242,0.116873,0.000631,0.402546
0,1,64,1,47360,cube,126,1,4,0.001314,0.008267,5e-06,0.003935,0.143707,0.210011,0.365475,0.009128,0.741744
0,1,64,1,12032,cube,86,1,13,0.000802,0.006088,6e-06,0.002156,0.290426,0.167115,3.32189,0.018126,3.80685
0,1,64,1,15424,cube,218,2,4,0.0008,0.006112,6e-06,0.000343,0.12781,0.200401,0.026751,0.000417,0.363014
0,1,64,1,4288,cube,177,1,14,0.000702,0.006287,6e-06,0.000509,0.183058,0.178087,1.06389,0.005761,1.4386
0,1,64,1,8192,cube,71,1,6,0.000785,0.005923,6e-06,0.000937,0.236867,0.15069,0.29556,0.00304,0.694027
0,1,64,1,20544,cube,170,1,5,0.000682,0.006483,6e-06,0.002123,0.211042,0.212042,0.223008,0.00529,0.661072
0,1,64,1,4544,cube,135,4,7,0.001335,0.007043,6e-06,0.000446,0.179159,0.239998,0.109115,0.000229,0.536905
0,1,64,1,4160,cube,129,3,10,0.000638,0.006305,7e-06,0.000295,0.202726,0.227971,0.252059,0.000324,0.690747
0,1,64,1,10496,cube,200,3,4,0.001329,0.006851,7e-06,0.00039,0.401887,0.091309,0.179302,0.000248,0.680968
0,1,64,1,4800,cube,248,1,15,0.0008,0.005794,7e-06,0.000474,0.188433,0.055232,1.36783,0.007279,1.62611
