,nbytes,nnodes,ppn,avg,std
645,4096,16,64,5.82351e-05,0.443105
646,9410,16,64,9.68201e-05,0.407387
647,21619,16,64,0.000166371,0.262263
648,49667,16,64,0.000278617,0.366195
649,114105,16,64,0.000404339,0.265773
650,262144,16,64,0.000756387,0.257953
651,602249,16,64,0.0014683,0.20797
652,1383604,16,64,0.00247422,0.216262
653,3178688,16,64,0.00406504,0.033386
654,7302707,16,64,0.00783027,0.027011
655,16777216,16,64,0.0164473,0.016317
80,64,32,1,5.0663e-06,0.313172
81,147,32,1,5.43096e-05,0.260519
82,338,32,1,6.12187e-05,0.451907
83,776,32,1,4.31317e-05,0.508864
84,1783,32,1,4.96377e-05,0.415493
85,4096,32,1,4.41857e-05,0.276779
86,9410,32,1,7.46552e-05,0.350424
87,21619,32,1,0.000170796,0.247285
88,49667,32,1,0.000247824,0.360245
89,114105,32,1,0.00038068,0.264243
90,262144,32,1,0.000748205,0.324799
91,602249,32,1,0.00121623,0.208381
92,1383604,32,1,0.00174935,0.170553
93,3178688,32,1,0.00229538,0.119861
94,7302707,32,1,0.00299968,0.0477558
95,16777216,32,1,0.00471421,0.083748
176,64,32,2,6.72255e-06,0.294018
177,147,32,2,6.28719e-05,0.268073
178,338,32,2,7.06125e-05,0.369392
179,776,32,2,5.46684e-05,0.369493
180,1783,32,2,4.91553e-05,0.223614
181,4096,32,2,5.74182e-05,0.296501
182,9410,32,2,9.69037e-05,0.366998
183,21619,32,2,0.00021853,0.255557
184,49667,32,2,0.000272864,0.199252
185,114105,32,2,0.000420854,0.307632
186,262144,32,2,0.000899003,0.406232
187,602249,32,2,0.00115429,0.213397
188,1383604,32,2,0.00174878,0.238539
189,3178688,32,2,0.00236293,0.13786
190,7302707,32,2,0.00332299,0.105242
191,16777216,32,2,0.00650302,0.0499469
272,64,32,4,1.08741e-05,0.39654
273,147,32,4,5.84885e-05,0.180763
274,338,32,4,6.8568e-05,0.534458
275,776,32,4,5.52194e-05,0.386013
276,1783,32,4,5.42166e-05,0.262016
