nbytes,nnodes,ppn,avg,std
224,3681251,1,1,4.4105e-07,0.966187
225,3865847,1,1,4.0845e-07,0.918756
226,4059699,1,1,4.3705e-07,0.958937
227,4263271,1,1,4.22e-07,1.06211
228,4477052,1,1,4.7965e-07,1.05989
229,4701553,1,1,4.3255e-07,0.932976
230,4937311,1,1,4.246e-07,0.814253
231,5184891,1,1,4.3645e-07,0.914585
232,5444887,1,1,4.65585e-06,4.10575
233,5717919,1,1,4.3045e-07,1.03925
234,6004643,1,1,4.546e-07,0.881577
235,6305745,1,1,4.561e-07,0.898343
236,6621945,1,1,4.325e-07,0.927871
237,6954001,1,1,4.4495e-07,0.9729
238,7302707,1,1,4.646e-07,1.14328
239,7668900,1,1,4.5615e-07,0.888061
240,8053455,1,1,4.325e-07,0.933171
241,8457294,1,1,4.4055e-07,0.946765
242,8881383,1,1,4.5805e-07,0.876994
243,9326738,1,1,4.4555e-07,1.05218
244,9794425,1,1,4.451e-07,0.992221
245,10285565,1,1,4.4005e-07,0.993155
246,10801332,1,1,4.2405e-07,0.851262
247,11342962,1,1,4.365e-07,0.908879
248,11911753,1,1,4.3695e-07,0.919015
249,12509065,1,1,4.3055e-07,0.921886
250,13136329,1,1,4.7365e-07,1.04097
251,13795047,1,1,4.5865e-07,1.02642
252,14486797,1,1,4.977e-07,1.20783
253,15213234,1,1,4.295e-07,0.908371
254,15976098,1,1,4.4145e-07,0.960605
255,16777216,1,1,4.1885e-07,0.813574
1536,64,1,2,1.6097e-06,0.890783
1537,67,1,2,1.8068e-06,0.827803
1538,71,1,2,2.06675e-06,1.20969
1539,74,1,2,1.9134e-06,1.06943
1540,78,1,2,1.74815e-06,0.934538
1541,82,1,2,1.81875e-06,0.870028
1542,86,1,2,1.9234e-06,1.11363
1543,90,1,2,1.78815e-06,0.864341
1544,95,1,2,2.59395e-06,2.07234
1545,99,1,2,1.88785e-06,0.862462
1546,104,1,2,2.52785e-06,1.82615
1547,110,1,2,2.00065e-06,1.12476
1548,115,1,2,1.80235e-06,0.882894
1549,121,1,2,2.35645e-06,1.1662
1550,127,1,2,2.57145e-06,1.88482
1551,133,1,2,2.5466e-06,1.68028
1552,140,1,2,1.94255e-06,1.07855
1553,147,1,2,2.5715e-06,1.81498
1554,154,1,2,2.9489e-06,1.8194
1555,162,1,2,1.7578e-06,0.869413
1556,170,1,2,1.83315e-06,0.80781
1557,179,1,2,1.91155e-06,1.10046
1558,188,1,2,2.46725e-06,1.85826
1559,197,1,2,2.6362e-06,1.81054
1560,207,1,2,2.6306e-06,1.72326
1561,217,1,2,1.7993e-06,0.852719
1562,228,1,2,2.66315e-06,1.84339
1563,240,1,2,2.8414e-06,1.67775
1564,252,1,2,2.73275e-06,1.80366
1565,264,1,2,2.08075e-06,1.1386
1566,278,1,2,2.4437e-06,1.86432
1567,292,1,2,2.32925e-06,1.9227
1568,306,1,2,1.98355e-06,0.973154
1569,322,1,2,4.7316e-06,2.07944
1570,338,1,2,2.79855e-06,1.6777
1571,355,1,2,3.1348e-06,1.90855
1572,373,1,2,2.9142e-06,1.74844
1573,391,1,2,1.83065e-06,0.849714
1574,411,1,2,3.9149e-06,1.90365
1575,431,1,2,3.9285e-06,1.47453
1576,453,1,2,2.0192e-06,1.06788
1577,476,1,2,1.8307e-06,0.783703
1578,500,1,2,1.9751e-06,0.896375
1579,525,1,2,1.86685e-06,0.792153
1580,551,1,2,4.8208e-06,1.31819
1581,579,1,2,2.05845e-06,1.00959
1582,608,1,2,2.5383e-06,1.79408
1583,638,1,2,1.92255e-06,0.903677
1584,670,1,2,2.2337e-06,1.17328
1585,704,1,2,1.99265e-06,1.03973
1586,739,1,2,4.6289e-06,1.98221
1587,776,1,2,3.63575e-06,1.67986
1588,815,1,2,2.10955e-06,0.819663
1589,856,1,2,5.2161e-06,1.95823
1590,899,1,2,2.072e-06,0.75567
1591,944,1,2,2.5795e-06,1.74003
1592,991,1,2,5.4065e-06,1.1946
1593,1041,1,2,2.04225e-06,0.760604
1594,1093,1,2,2.9112e-06,1.58176
1595,1148,1,2,2.0608e-06,0.777135
1596,1205,1,2,7.2483e-06,2.17301
1597,1266,1,2,3.66595e-06,2.02483
1598,1329,1,2,2.0888e-06,0.773072
1599,1396,1,2,2.2071e-06,0.803842
1600,1466,1,2,3.25915e-06,1.80295
1601,1539,1,2,2.19155e-06,0.715711
1602,1617,1,2,2.38455e-06,0.902963
1603,1698,1,2,2.85155e-06,1.65703
1604,1783,1,2,2.96095e-06,1.4744
1605,1872,1,2,3.2706e-06,1.41763
1606,1966,1,2,2.2527e-06,0.687988
1607,2065,1,2,2.28235e-06,0.684025
1608,2168,1,2,2.26625e-06,0.67445
1609,2277,1,2,3.3722e-06,1.4468
1610,2391,1,2,2.6476e-06,0.656796
1611,2511,1,2,2.5504e-06,0.795115
1612,2637,1,2,2.42715e-06,0.654904
1613,2769,1,2,7.7425e-06,0.854908
1614,2908,1,2,3.4289e-06,1.36046
1615,3054,1,2,2.814e-06,0.567555
1616,3207,1,2,2.753e-06,0.586462
1617,3368,1,2,2.77415e-06,0.584665
1618,3537,1,2,3.4204e-06,1.3483
1619,3714,1,2,3.60605e-06,0.909853
1620,3900,1,2,3.4575e-06,0.891504
1621,4096,1,2,3.31175e-06,1.25529
1622,4301,1,2,2.8407e-06,0.570052
1623,4517,1,2,2.8185e-06,0.543947
1624,4744,1,2,2.83655e-06,0.534019
1625,4981,1,2,7.78455e-06,0.835467
1626,5231,1,2,3.69865e-06,1.26213
1627,5494,1,2,3.9877e-06,1.09047
1628,5769,1,2,3.18095e-06,0.605169
1629,6058,1,2,3.474e-06,0.664665
1630,6362,1,2,3.22e-06,0.600187
1631,6681,1,2,3.87495e-06,1.20447
1632,7016,1,2,3.451e-06,0.588535
1633,7368,1,2,4.25935e-06,1.1349
1634,7737,1,2,3.5121e-06,0.434434
1635,8125,1,2,4.99665e-06,1.00214
1636,8533,1,2,3.7593e-06,0.426254
1637,8961,1,2,1.34557e-05,0.74313
1638,9410,1,2,1.82924e-05,0.524408
1639,9882,1,2,1.62006e-05,0.961677
1640,10378,1,2,1.35795e-05,0.700415
1641,10898,1,2,1.32726e-05,0.707371
1642,11444,1,2,1.41653e-05,0.78576
1643,12018,1,2,2.58961e-05,0.940315
1644,12621,1,2,1.81182e-05,0.788801
1645,13254,1,2,1.78371e-05,0.751231
1646,13918,1,2,1.80242e-05,0.763015
1647,14616,1,2,2.2221e-05,0.596288
1648,15349,1,2,1.97813e-05,0.783662
1649,16119,1,2,3.0329e-05,0.898232
1650,16927,1,2,2.40626e-05,0.872163
1651,17776,1,2,2.28537e-05,0.81691
1652,18667,1,2,2.28078e-05,0.800254
1653,19603,1,2,2.53315e-05,0.758166
1654,20587,1,2,3.36099e-05,0.980932
1655,21619,1,2,2.87408e-05,0.874653
1656,22703,1,2,2.70437e-05,0.82371
1657,23841,1,2,3.90807e-05,0.887881
1658,25037,1,2,2.98096e-05,0.808423
1659,26292,1,2,3.25205e-05,0.871056
1660,27611,1,2,3.24012e-05,0.833936
1661,28995,1,2,3.57714e-05,0.888053
