m,n,k,avg,std
6240,3789,74,4084,0.0922314,0.00692157
6256,1717,799,566,0.047005,0.00772631
6272,352,3433,3419,0.246586,0.00543203
6288,234,1507,3663,0.0831388,0.00973083
6304,493,1523,3220,0.1476,0.00947873
6320,3849,661,1842,0.282106,0.023991
6336,2719,3807,2244,1.30429,0.00236872
6352,2153,3560,1130,0.482717,0.00159306
6368,593,1100,796,0.0315567,0.023186
6384,1616,2868,298,0.0766905,0.0146132
6400,1810,3652,763,0.284386,0.00528801
6416,2259,456,481,0.0340937,0.00450369
6432,560,1360,518,0.0238364,0.0163103
6448,1989,532,4037,0.253939,0.0098611
6464,550,4090,3467,0.462477,0.00594614
6480,3120,3519,1940,1.16889,0.00132593
6496,2190,897,67,0.00958973,0.0290798
6512,1073,2717,389,0.0758625,0.00288439
6528,1751,172,34,0.00105173,0.0204607
6544,3324,3049,3274,1.83646,0.00156992
6560,2803,543,564,0.0519118,0.012515
6576,3143,2767,2884,1.39399,0.00175461
6592,3331,3320,3140,1.93665,0.0022977
6608,3622,2039,3818,1.5931,0.0198324
6624,1083,2235,2150,0.307125,0.0199941
6640,3594,3590,2612,1.87406,0.0198849
6656,2140,2726,3463,1.11793,0.00168813
6672,939,3922,751,0.164659,0.00521608
6688,1009,3419,3625,0.707518,0.00380078
6704,728,1016,567,0.027695,0.0159785
6720,2362,1466,3738,0.741124,0.00193731
6736,95,666,1765,0.00968085,0.00396636
6752,822,1512,3860,0.280284,0.00438973
6768,1930,3200,72,0.0284809,0.017952
6784,3742,485,3437,0.373141,0.0070603
6800,3864,832,3801,0.693768,0.00166391
6816,3682,2980,301,0.181499,0.00804933
6832,706,2317,2891,0.274096,0.00725737
6848,3219,468,233,0.0216235,0.0201664
6864,3238,949,145,0.0268172,0.0195311
6880,49,2675,2536,0.0337422,0.0154283
6896,2459,452,63,0.00536407,0.025789
6912,434,1528,2689,0.108589,0.00612552
6928,840,3243,1761,0.272117,0.00734742
6944,3790,3428,2038,1.49961,0.000973372
6960,499,3585,1545,0.167047,0.00925814
6976,2320,1477,3616,0.729872,0.00958709
6992,767,3003,3916,0.557996,0.0171209
7008,3994,1944,1288,0.55734,0.00566154
7024,497,2487,822,0.0619938,0.0143005
7040,586,2220,2323,0.176844,0.00999021
7056,2602,3657,1196,0.630684,0.00538533
7072,312,1992,1688,0.0645106,0.0121381
7088,963,1471,718,0.065155,0.0196972
7104,1928,2334,1385,0.360204,0.00990142
7120,3106,1177,3108,0.643507,0.00545797
7136,2450,67,430,0.00532464,0.00464967
7152,3833,3627,2881,2.20563,0.00233332
7168,2917,3492,299,0.168316,0.0138712
7184,2905,3069,2578,1.27044,0.00795416
7200,1714,262,2745,0.0810606,0.00840092
7216,2853,2539,3151,1.27039,0.00263956
7232,2635,2206,2548,0.838837,0.0239511
7248,2915,1276,3634,0.756497,0.00208416
7264,3714,559,2436,0.302586,0.00556881
7280,3587,434,3658,0.362146,0.0055165
7296,3747,1894,198,0.0794417,0.00959114
7312,2382,812,3291,0.376611,0.021997
7328,1700,2765,2025,0.551479,0.00999813
7344,3458,2106,1789,0.724982,0.00456236
7360,760,1778,2834,0.220285,0.00623162
7376,372,158,2038,0.00951788,0.0268901
7392,3253,3480,2808,1.75565,0.00146245
7408,3293,1906,1196,0.421817,0.00760259
7424,455,3122,3924,0.351407,0.00817865
7440,1930,647,3232,0.238375,0.00736559
7456,1563,921,931,0.0793245,0.0121888
7472,3215,1317,2127,0.509605,0.00354085
7488,500,3391,3823,0.382525,0.00509222
7504,947,3653,1337,0.265147,0.00595529
7520,2416,191,3392,0.113877,0.00986154
