m,n,avg,std
8384,2262,164,0.0143786,0.0118285
8400,6795,153,0.0391439,0.0062432
8416,942,106,0.00328882,0.0160511
8432,227,208,0.00222445,0.0496062
8448,2322,263,0.0354339,0.0266164
8464,410,92,0.00121964,0.0422606
8480,9518,110,0.0371747,0.0279931
8496,8182,77,0.0189841,0.0168481
8512,2923,395,0.0770537,0.00936838
8528,2915,640,0.15762,0.00963509
8544,7077,88,0.0162487,0.0087453
8560,100,67,0.000302436,0.0744904
8576,794,117,0.00334248,0.0280657
8592,3909,104,0.0108078,0.00813952
8608,910,300,0.017516,0.0139035
8624,3067,112,0.0105938,0.0074737
8640,152,93,0.000762118,0.0427604
8656,272,73,0.000551864,0.0444984
8672,3646,68,0.00525988,0.0225844
8688,690,401,0.0195388,0.00952335
8704,175,72,0.000476174,0.0647982
8720,602,456,0.0188818,0.00734278
8736,609,509,0.0245873,0.00742892
8752,232,172,0.00175765,0.0411614
8768,1177,101,0.00347896,0.0309294
8784,702,108,0.00232125,0.0255611
8800,2556,367,0.0657836,0.00997475
8816,9537,128,0.0429008,0.00918243
8832,12157,90,0.0371254,0.00993991
8848,4330,189,0.0349842,0.0124874
8864,1466,448,0.0446332,0.00977888
8880,1789,418,0.0524955,0.00725529
8896,20938,67,0.0393371,0.00941565
8912,2154,88,0.00520101,0.00790861
8928,922,229,0.0115757,0.0149601
8944,544,190,0.00496604,0.00995739
8960,1270,293,0.0232745,0.00993968
8976,760,102,0.00220637,0.029781
8992,9300,182,0.0770128,0.00551057
9008,232,123,0.00112971,0.0282645
9024,12953,69,0.0255107,0.00248401
9040,1770,77,0.00328017,0.0202349
9056,10290,123,0.0501814,0.00813613
9072,3058,139,0.0152979,0.0061743
9088,3511,185,0.0282509,0.00433664
9104,536,207,0.00577733,0.0264077
9120,957,160,0.00604047,0.00974668
9136,1140,448,0.0350879,0.00983416
9152,1889,109,0.00658146,0.018528
9168,312,121,0.00135731,0.0366621
9184,561,550,0.0252403,0.0093955
9200,993,280,0.0164976,0.00595387
9216,102,92,0.000531622,0.0322964
9232,1026,138,0.00583681,0.00631537
9248,1452,156,0.00951205,0.00995862
9264,363,305,0.00701899,0.0147418
9280,2333,290,0.0389905,0.00997833
9296,475,304,0.00896329,0.0171393
9312,13877,121,0.0680533,0.00574416
9328,1614,637,0.0883489,0.00888077
9344,1587,338,0.0344317,0.00869272
9360,828,73,0.00134757,0.0396836
9376,1071,76,0.00186454,0.0191284
9392,2099,363,0.0489054,0.00652858
9408,2680,69,0.00411799,0.0503824
9424,3345,186,0.0267389,0.00392292
9440,276,75,0.000594646,0.0507876
9456,3347,535,0.142441,0.0124836
9472,2773,198,0.0246503,0.00897232
9488,384,344,0.00897322,0.0273748
9504,614,141,0.00343031,0.016076
9520,1707,518,0.069671,0.00927241
9536,934,489,0.0361325,0.00549679
9552,4853,201,0.0416869,0.00992031
9568,2449,179,0.0191131,0.00433384
9584,16961,92,0.0544567,0.00235442
9600,13114,106,0.049632,0.00416783
9616,2569,340,0.0544234,0.00982637
9632,1365,417,0.0423876,0.0123671
9648,1263,77,0.00231123,0.0209098
9664,29390,64,0.0495009,0.00210689
9680,1697,589,0.0832315,0.00372714
9696,1352,123,0.00634292,0.00847755
9712,414,411,0.0120936,0.00997346
9728,635,85,0.00144687,0.027952
9744,997,84,0.00230099,0.0371096
9760,1682,198,0.0154811,0.00997487
9776,2671,244,0.0332942,0.00654009
9792,1187,511,0.0493842,0.00643982
9808,90,66,0.000278127,0.0791604
9824,11388,68,0.0210039,0.0032754
9840,1483,223,0.0179888,0.00921867
9856,1774,149,0.0105958,0.0065864
9872,1126,319,0.0235588,0.0110741
9888,921,899,0.0800425,0.00673147
9904,658,579,0.0320624,0.00571894
9920,1073,67,0.00150967,0.0357203
9936,864,707,0.0541013,0.00618563
9952,553,158,0.00386767,0.0196301
9968,367,250,0.00520844,0.0247446
9984,699,204,0.00720538,0.015289
10000,11633,71,0.0232696,0.00976736
10016,1728,911,0.158583,0.00765472
10032,1094,164,0.00745032,0.00659928
