nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
2817,16,37,22,4,1,9,2,4,4,2,32,1,0.206704,0.232480
43733,25,61,18,6,7,7,1,1,1,64,1,1,0.199831,0.031730
7757,30,107,38,6,4,1,2,4,2,4,16,1,1.073094,1.591897
1224,53,66,58,0,8,7,2,4,2,4,16,1,7.103588,2.546651
42785,22,36,27,3,0,2,1,2,1,64,2,1,0.122395,0.063912
20331,76,75,63,2,1,11,2,2,2,16,8,1,5.184108,1.575946
38233,49,71,53,4,3,2,1,2,1,64,2,1,0.988264,0.365554
6768,62,20,73,4,4,1,4,2,4,2,32,1,0.852077,2.249871
15340,47,81,52,3,5,9,4,4,4,2,64,1,2.019099,24.958315
3519,28,19,67,3,1,2,2,2,4,4,16,1,0.158936,1.628472
5003,72,17,64,6,5,5,4,1,4,8,16,1,0.875098,0.515454
3431,33,65,93,0,0,1,1,1,2,32,2,1,5.009738,0.236804
8781,26,20,68,2,8,5,1,1,4,16,4,1,0.389278,0.116628
9564,64,22,60,4,5,0,2,1,2,16,4,1,0.440259,0.171573
33074,18,107,41,6,5,2,1,2,1,32,2,1,0.495159,0.110412
22273,107,123,18,3,1,0,2,4,1,16,8,1,0.623308,0.876377
3209,98,24,23,4,9,2,8,2,2,2,32,1,0.526509,0.811035
4679,66,106,113,3,6,4,4,4,4,1,64,1,9.596957,176.259399
20568,33,56,40,3,2,9,2,2,2,16,8,1,0.292462,0.665825
15035,36,53,30,5,9,7,4,4,4,2,64,1,1.469826,1.506943
18344,80,33,53,6,0,6,4,1,2,8,8,1,1.052768,0.468686
2306,39,74,60,4,6,10,2,2,2,8,8,1,1.019425,1.168201
3497,21,34,64,5,6,9,2,4,4,2,32,1,0.564858,1.038491
33605,78,71,47,2,1,4,2,1,1,32,2,1,2.696214,0.273185
7473,70,41,20,1,0,1,8,4,2,2,64,1,1.546561,1.056315
5102,16,60,77,2,9,5,1,4,8,4,32,1,1.224172,0.696785
41092,39,19,56,5,9,3,1,1,2,64,2,1,0.398484,0.110437
23656,109,41,18,3,2,8,4,1,1,16,4,1,0.156987,0.222170
745,43,19,18,1,0,12,8,4,2,1,64,1,0.529354,0.443068
3421,45,84,81,0,1,10,2,4,2,4,16,1,9.806007,13.177951
13596,32,90,40,5,1,13,1,1,1,64,1,1,0.687701,0.100258
9587,54,115,82,1,0,3,1,2,2,16,4,1,3.393968,0.804881
5934,31,60,41,0,4,9,2,4,4,4,32,1,2.838539,1.594431
7416,44,49,85,1,8,13,2,2,4,4,16,1,2.068007,1.883088
1694,46,110,47,1,8,12,4,8,2,2,64,1,4.818349,6.757708
12810,39,31,41,1,3,0,2,2,4,8,16,1,0.985679,0.693583
