m,n,k,avg
0,626,392,2561,0.0376338
0,2561,4096,1873,1.08073
0,2190,1873,535,0.130516
0,286,458,3503,0.0329712
0,1873,2190,335,0.0887018
0,535,2190,392,0.0295138
0,1601,3503,1171,0.377104
0,2995,209,856,0.0382409
0,458,3503,112,0.0125126
0,1369,2995,4096,0.912749
0,245,1873,153,0.00468561
0,1001,96,1171,0.00964962
0,4096,1873,1601,0.682521
0,392,1369,82,0.00302156
0,335,856,70,0.00132102
0,3503,2995,37,0.0269331
0,1873,209,2995,0.0816802
0,458,335,458,0.00448145
0,1171,458,44,0.00166181
0,82,1369,4096,0.043792
0,335,70,3503,0.00615904
0,2561,856,44,0.00739166
0,70,856,1171,0.00661256
0,4096,179,392,0.0192116
0,1369,153,245,0.00437897
0,2190,392,153,0.00841634
0,856,2190,535,0.0641161
0,335,1873,3503,0.143582
0,3503,209,1369,0.0703814
0,1873,4096,535,0.236635
0,732,1369,1873,0.111625
0,1601,1873,1873,0.332062
0,458,392,732,0.0100536
0,179,1171,1369,0.0251069
0,245,1601,732,0.0198642
0,392,626,2561,0.0373638
0,2561,153,3503,0.101403
0,4096,3503,60,0.0553736
0,2190,335,1001,0.0499122
0,3503,1601,209,0.0655152
0,732,1171,335,0.0193402
0,732,245,153,0.00206063
0,2995,1873,245,0.0797555
0,1171,856,96,0.0068309
0,1601,626,458,0.026626
0,2561,1601,70,0.0186281
0,1001,535,4096,0.128514
0,1369,392,1601,0.0562634
0,4096,335,2995,0.256653
0,2190,2561,2995,0.978136
0,856,4096,1171,0.225569
0,1873,1601,44,0.00969795
0,1873,626,856,0.0620531
0,51,1601,4096,0.0342222
0,535,1601,2190,0.118327
0,1601,2561,153,0.0374122
0,112,856,2995,0.0255892
0,458,2561,626,0.0464498
0,1369,4096,535,0.177566
0,70,1873,335,0.0046179
0,2995,245,2190,0.108426
0,179,1601,286,0.00537012
0,2561,286,626,0.0310253
0,153,1001,1001,0.0112266
0,4096,535,51,0.00832248
0,179,3503,1171,0.0426766
