msgsize,ppn,nnodes,avg,std
37201,484041,1,16,0.00111414,0.347568
7122,372462,64,16,0.00104673,0.174508
7248,14686561,4,64,0.0132414,0.146887
11621,107963,64,8,0.000306256,0.370071
4597,10284704,32,1,0.00474832,0.0250626
31764,967583,1,128,0.00148848,0.171494
62341,20661820,16,1,0.00853042,0.00938623
9907,105276,4,128,0.000626721,0.490248
27226,685185,2,1,0.000328339,0.0800175
53879,6774001,8,2,0.00374817,0.0136967
33644,2743432,2,16,0.00188411,0.100466
19054,197062,2,4,0.000353107,0.193
8559,3632086,1,2,0.000490956,0.0801477
57514,667573,2,32,0.00144807,0.379415
11707,6106851,64,64,0.00790066,0.0675814
47288,1961028,4,8,0.00236408,0.343969
19732,636728,64,32,0.00205086,0.224703
23092,5092533,64,32,0.00610632,0.0752699
46634,34263049,4,8,0.0228442,0.143917
45590,44227078,32,1,0.0201696,0.00619569
1062,12575813,4,32,0.00946661,0.196591
18126,20240891,64,4,0.0190379,0.0196498
744,5405847,1,2,0.000583213,0.0230277
59795,4003433,16,32,0.00386641,0.0376034
51695,51481374,64,8,0.0477343,0.00987801
2373,2720464,8,16,0.00385542,0.21941
63791,3562612,1,64,0.00269287,0.245498
8448,4312481,64,128,0.00587046,0.0954646
49634,4940536,8,1,0.00209576,0.0108706
12401,11728880,8,64,0.00972723,0.0724579
10304,5546089,1,64,0.00342747,0.241161
45753,24376363,1,8,0.00585773,0.0930782
15741,36258146,2,32,0.0200434,0.0927924
30230,29477954,2,16,0.0103577,0.0482998
36545,38700609,1,128,0.0135304,0.0537718
59943,57281041,2,32,0.0305825,0.136656
53874,30702366,4,64,0.0385059,0.044329
45745,79912,16,1,3.29843e-05,0.336442
11011,169500,64,16,0.000521318,0.276201
31151,1618971,1,128,0.00196688,0.121403
43303,10099663,16,64,0.00847293,0.0380657
27509,9904026,64,2,0.00828776,0.0506021
45303,8510521,1,8,0.00257861,0.0875328
54476,1657589,32,16,0.00213101,0.0718192
9743,5941821,32,1,0.00287795,0.0293996
52092,1088685,64,1,0.000824757,0.120585
17156,5998087,4,64,0.0216811,0.0957424
15567,22810908,4,16,0.0142272,0.129398
22262,8293374,4,16,0.0066265,0.167384
30940,2647911,1,16,0.00223653,0.461917
55686,31365353,32,4,0.0208511,0.00643211
33836,5941484,4,64,0.0193057,0.0956793
1677,18335877,8,128,0.0171776,0.119459
13290,41074313,16,8,0.0267126,0.00961023
23859,263466,64,16,0.000792835,0.213089
48811,560239,1,16,0.00119534,0.322491
17018,343461,2,16,0.000809377,0.350163
36286,126875,1,16,0.000451893,0.684179
4925,3369421,32,64,0.00397289,0.091934
16190,719680,1,64,0.00179112,0.342689
9260,1160855,2,32,0.00180493,0.349924
57443,10713277,1,64,0.00520717,0.285731
28122,2076003,8,1,0.000920147,0.0311738
43361,315692,4,32,0.000944881,0.372622
